Year,Source,Bear,Base,Bull,ForecastDate,TargetDate,Note
2023,ARKInvest,49.06666667,160.2666667,276.4,22/08/2018,1/06/2023,""
2024,ARKInvest,100,466.6666667,1000,31/01/2020,1/06/2024,"updated cost supply/demand and robotaxi,"
2025,ARKInvest,500,1000,1333.333333,19/03/2021,1/06/2025,"added insurance, increased robotaxi likelihood"
2026,ARKInvest,966.6666667,1533.333333,1933.333333,14/04/2022,1/06/2026,"added bitcoin, increased robotaxi"
2027,ARKInvest,,2666.666667,,14/04/2022,1/06/2027,"forward forecast published with 2026 target"
2028,ARKInvest,,4666.666667,,14/04/2022,1/06/2028,"forward forecast published with 2026 target"
2029,ARKInvest,,6333.333333,,14/04/2022,1/06/2029,"forward forecast published with 2026 target"
2030,ARKInvest,,7500,,14/04/2022,1/06/2030,"forward forecast published with 2026 target"
2027,ARKInvest,1400,2000,2500,20/04/2023,1/06/2027,"added energy, increased robotaxi, no bots or AI or autobidder"
2023,SMR,,1148.333333,,21/03/2022,1/06/2023,https://www.youtube.com/watch?v=W0OKbs_N51A&ab_channel=SolvingTheMoneyProblem
2024,SMR,,1668.333333,,21/03/2022,1/06/2024,
2025,SMR,,2635.333333,,21/03/2022,1/06/2025,
2026,SMR,,3315.333333,,21/03/2022,1/06/2026,
2027,SMR,,4305.666667,,21/03/2022,1/06/2027,
2028,SMR,,5384,,21/03/2022,1/06/2028,
2029,SMR,,7110.666667,,21/03/2022,1/06/2029,
2030,SMR,,9067,,21/03/2022,1/06/2030,
2031,SMR,,11219.66667,,21/03/2022,1/06/2031,
2023,RKirk,,284,,21/06/2023,1/12/2023,"Tesla S3XY Unit Sales & Margins, Energy, Services, Total Profit Projections for 2023 (youtube.com)"
2024,RKirk,,541,,23/06/2023,1/06/2024,https://www.youtube.com/watch?v=Y-n-3reWAcw
2026,RKirk,,1800,,18/06/2023,1/06/2026,https://www.youtube.com/watch?v=nDJ0u26YDZ4&t=849s
2025,InvestA,,978,,31/03/2023,1/06/2025,https://www.youtube.com/watch?v=3stat7uO-4E&ab_channel=InvestAnswers
2027,InvestA,,2600,,31/03/2023,1/06/2027,https://www.youtube.com/watch?v=3stat7uO-4E&ab_channel=InvestAnswers
2030,InvestA,,8171,,31/03/2023,1/06/2030,https://www.youtube.com/watch?v=3stat7uO-4E&ab_channel=InvestAnswers
